route_id,agency_id,route_short_name,route_long_name,route_type
L254041,farida,254041,4 EME KM  - EL MERIDJ,3
L 254042,farida, 254042,ZIGHOUD YOUCEF  - BEN DJEDOU,3
L254044,farida,254044, BEKIRA  - HAMMA BOUZIANE,3
L254047,farida,254047,AIN KEBIRA - MAESSAOUD BOUDJR,3
L254048,farida,254048,BAB TROUCHE - IBN ZIAD,3
L254049,farida,254049,AIN SMARA  - V/ HAMMDI,3
L254050,farida,254050,DIDOUCHE MOURAD - SIDI ARRAB,3
L254051,farida,254051,DIDOUCHE MOURAD - BEKIRA,3
L254052,farida,254052,AIN TRAB - HAMMA BOUZIANE,3
L254053,farida,254053,150LOGTS BEKIRA - HAMMA BOUZIANE,3
